image_no,file,category,subtype,luma,saturation,contrast,key,temperature,saturation_class,contrast_class,learning_score,tier,analysis_note
1,001.webp,front_matter,cover,191.4,55.2,59.7,mid-key,warm,moderate,medium-contrast,45,C,"Reference page; mid-key, warm, moderate."
2,002.webp,front_matter,disclaimer,233.9,0.0,36.6,high-key,balanced,muted,soft-contrast,10,C,"Reference page; high-key, balanced, muted."
3,003.webp,front_matter,title,250.6,4.0,17.7,high-key,balanced,muted,soft-contrast,15,C,"Reference page; high-key, balanced, muted."
4,004.webp,front_matter,contents,217.8,33.9,47.5,high-key,cool,muted,medium-contrast,50,C,"Reference page; high-key, cool, muted."
5,005.webp,illustration,final_key_visual,193.9,39.2,85.6,mid-key,warm,muted,strong-contrast,88,A,"Final promotional illustration: mid-key, warm, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
6,006.webp,illustration,final_key_visual,175.0,34.5,66.9,mid-key,warm,muted,medium-contrast,88,A,"Final promotional illustration: mid-key, warm, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
7,007.webp,illustration,final_key_visual,194.3,37.8,52.3,mid-key,cool,muted,medium-contrast,88,A,"Final promotional illustration: mid-key, cool, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
8,008.webp,illustration,final_key_visual,219.6,27.7,39.9,high-key,cool,muted,medium-contrast,88,A,"Final promotional illustration: high-key, cool, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
9,009.webp,illustration,final_key_visual,183.9,42.6,62.1,mid-key,cool,muted,medium-contrast,88,A,"Final promotional illustration: mid-key, cool, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
10,0010.webp,illustration,final_key_visual,197.6,27.9,50.1,high-key,balanced,muted,medium-contrast,88,A,"Final promotional illustration: high-key, balanced, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
11,0011.webp,illustration,final_key_visual,154.1,78.8,67.3,mid-key,warm,moderate,medium-contrast,88,A,"Final promotional illustration: mid-key, warm, moderate; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
12,0012.webp,illustration,final_key_visual,157.9,43.7,95.2,mid-key,warm,muted,strong-contrast,88,A,"Final promotional illustration: mid-key, warm, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
13,0013.webp,illustration,final_key_visual,115.6,93.8,75.6,mid-key,cool,vivid,strong-contrast,88,A,"Final promotional illustration: mid-key, cool, vivid; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
14,0014.webp,illustration,final_key_visual,220.4,22.4,56.7,high-key,warm,muted,medium-contrast,88,A,"Final promotional illustration: high-key, warm, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
15,0015.webp,illustration,final_key_visual,189.0,43.0,55.4,mid-key,cool,muted,medium-contrast,88,A,"Final promotional illustration: mid-key, cool, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
16,0016.webp,illustration,final_key_visual,221.3,40.2,42.2,high-key,balanced,muted,medium-contrast,88,A,"Final promotional illustration: high-key, balanced, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
17,0017.webp,illustration,final_key_visual,217.9,24.6,48.9,high-key,warm,muted,medium-contrast,88,A,"Final promotional illustration: high-key, warm, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
18,0018.webp,illustration,rough_process,173.5,50.6,75.9,mid-key,balanced,moderate,strong-contrast,84,B,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
19,0019.webp,illustration,rough_process,203.0,13.3,56.2,high-key,balanced,muted,medium-contrast,84,B,"Process evidence: high-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
20,0020.webp,illustration,rough_process,184.4,24.4,74.1,mid-key,balanced,muted,strong-contrast,84,B,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
21,0021.webp,illustration,rough_process,185.0,51.6,71.2,mid-key,warm,moderate,strong-contrast,84,B,"Process evidence: mid-key, warm; compare line/rough value plan against color result to learn what survives from composition into final rendering."
22,0022.webp,illustration,rough_process,217.3,9.4,60.7,high-key,balanced,muted,medium-contrast,84,B,"Process evidence: high-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
23,0023.webp,illustration,rough_process,141.0,65.0,97.9,mid-key,cool,moderate,strong-contrast,84,B,"Process evidence: mid-key, cool; compare line/rough value plan against color result to learn what survives from composition into final rendering."
24,0024.webp,illustration,rough_process,167.2,32.5,74.0,mid-key,balanced,muted,strong-contrast,84,B,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
25,0025.webp,divider,character_profile,217.3,34.5,55.2,high-key,cool,muted,medium-contrast,20,C,"Reference page; high-key, cool, muted."
26,0026.webp,character,profile_sheet,214.1,14.3,68.4,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Sunaookami Shiroko (Terror); white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
27,0027.webp,character,profile_sheet,232.6,11.1,47.9,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Yozakura Kirara; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
28,0028.webp,character,profile_sheet,221.1,14.4,66.6,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Kyougoku Satsuki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
29,0029.webp,character,profile_sheet,211.6,15.8,74.0,high-key,balanced,muted,strong-contrast,96,S,"Primary secondary-creation anchor for Motomiya Chiaki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
30,0030.webp,character,profile_sheet,244.9,4.7,24.7,high-key,balanced,muted,soft-contrast,96,S,"Primary secondary-creation anchor for Yurizono Seia; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
31,0031.webp,character,profile_sheet,212.6,6.6,74.9,high-key,balanced,muted,strong-contrast,96,S,"Primary secondary-creation anchor for Tsukatsuki Rio; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
32,0032.webp,character,profile_sheet,224.7,6.9,58.1,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Ryuugue Kisaki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
33,0033.webp,character,profile_sheet,224.3,15.3,60.8,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Kayama Reijo; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
34,0034.webp,character,profile_sheet,231.3,7.3,48.8,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Satohama Umika; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
35,0035.webp,character,profile_sheet,227.8,18.7,59.9,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Rikuhachima Aru; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
36,0036.webp,character,profile_sheet,241.4,2.3,40.2,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Onikata Kayoko; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
37,0037.webp,character,profile_sheet,217.4,8.4,61.8,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Wanibuchi Akari; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
38,0038.webp,character,profile_sheet,232.6,6.1,48.2,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Kasuga Tsubaki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
39,0039.webp,character,profile_sheet,231.9,5.4,51.3,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Kyouyama Kazusa; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
40,0040.webp,character,profile_sheet,234.3,16.0,44.8,high-key,warm,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Ibaragi Yoshimi; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
41,0041.webp,character,profile_sheet,236.9,7.6,41.3,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Kurimura Airi; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
42,0042.webp,character,profile_sheet,237.7,5.6,40.5,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Saiba Momoi; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
