page,filename,section,score,why_it_matters
202,0202.webp,monsters_and_endemic_life_I,98,Great Jagras core monster design sheet
220,0220.webp,monsters_and_endemic_life_I,98,Barroth armor-plating anatomy and habitat logic
235,0235.webp,monsters_and_endemic_life_I,98,Anjanath predator mass and locomotion logic
260,0260.webp,monsters_and_endemic_life_I,98,Radobaan bone-armor material translation
295,0295.webp,monsters_and_endemic_life_I,98,Zorah Magdaros colossal scale and surface ecology
338,0338.webp,monsters_and_endemic_life_II,98,Nergigante spike regeneration and impact mass
345,0345.webp,monsters_and_endemic_life_II,98,Vaal Hazak corpse-gas horror anatomy
355,0355.webp,monsters_and_endemic_life_II,98,Xeno'jiiva alien bioluminescent creature logic
376,0376.webp,monsters_and_endemic_life_II,98,Kulve Taroth precious-metal material fantasy
382,0382.webp,monsters_and_endemic_life_II,98,Lunastra blue-flame identity and regal body mass
104,0104.webp,field_exploration,95,Ancient Forest hero environment plate
136,0136.webp,field_exploration,95,Coral Highlands color and atmosphere system
149,0149.webp,field_exploration,95,Rotten Vale oppressive mood and decay language
172,0172.webp,field_exploration,95,lava chamber and heat-color design
205,0205.webp,monsters_and_endemic_life_I,95,field behavior + anatomy pairing
212,0212.webp,monsters_and_endemic_life_I,95,Pukei-Pukei color and organ-based attack design
228,0228.webp,monsters_and_endemic_life_I,95,Tobi-Kadachi gliding silhouette and ecology
240,0240.webp,monsters_and_endemic_life_I,95,Rathian iconic wyvern silhouette
245,0245.webp,monsters_and_endemic_life_I,95,Tzitzi-Ya-Ku flash organ and display behavior
250,0250.webp,monsters_and_endemic_life_I,95,Paolumu balloon body concept and behavioral adaptation
266,0266.webp,monsters_and_endemic_life_I,95,Legiana flight form elegance and wing study
275,0275.webp,monsters_and_endemic_life_I,95,Odogaron speed predator anatomy
280,0280.webp,monsters_and_endemic_life_I,95,Bazelgeuse explosive body language
290,0290.webp,monsters_and_endemic_life_I,95,Kirin mythical lightning-beast minimal silhouette
310,0310.webp,monsters_and_endemic_life_II,95,Pink Rathian variant differentiation
315,0315.webp,monsters_and_endemic_life_II,95,Bazelgeuse variant / wing graphic detail
320,0320.webp,monsters_and_endemic_life_II,95,lavasioth heat and magma texture logic
328,0328.webp,monsters_and_endemic_life_II,95,Azure Rathalos aerial predator variant
332,0332.webp,monsters_and_endemic_life_II,95,Black Diablos horn and desert combat logic
350,0350.webp,monsters_and_endemic_life_II,95,Kushala Daora metallic elder dragon language
370,0370.webp,monsters_and_endemic_life_II,95,Deviljho brute force volume and predation tone
389,0389.webp,monsters_and_endemic_life_II,95,Behemoth crossover boss language and raid presentation
420,0420.webp,weapon_armor_and_production_design,93,weapon families and hunter kit overview
434,0434.webp,weapon_armor_and_production_design,93,monster-to-armor translation example
500,0500.webp,weapon_armor_and_production_design,93,full armor family comparison
112,0112.webp,field_exploration,92,top-down canopy composition and layered depth
118,0118.webp,field_exploration,92,open-field vista and traversal readability
123,0123.webp,field_exploration,92,biome contrast and color zoning
128,0128.webp,field_exploration,92,rocky path / traversal / combat readability
141,0141.webp,field_exploration,92,underwater-like lighting language
162,0162.webp,field_exploration,92,Elder Recess grand scale key art
180,0180.webp,field_exploration,92,crystalline lighting and elemental environment
183,0183.webp,field_exploration,92,city/environment integration concept page
191,0191.webp,field_exploration,92,golden cavern material and glow logic
418,0418.webp,weapon_armor_and_production_design,90,chapter title weapon & armor section
423,0423.webp,weapon_armor_and_production_design,90,equipment-to-role visual differentiation
428,0428.webp,weapon_armor_and_production_design,90,weapon silhouette readability study
443,0443.webp,weapon_armor_and_production_design,90,mechanical/tech-style equipment sheet
450,0450.webp,weapon_armor_and_production_design,90,heavy armor and aggressive weapon set
462,0462.webp,weapon_armor_and_production_design,90,chibi / functional armor set overview
471,0471.webp,weapon_armor_and_production_design,90,ice-element set and material translation
486,0486.webp,weapon_armor_and_production_design,90,special NPC / themed costume palette
494,0494.webp,weapon_armor_and_production_design,90,late-game armor hierarchy / prestige markers
502,0502.webp,weapon_armor_and_production_design,90,non-human / mascot costume design
517,0517.webp,weapon_armor_and_production_design,90,equipment family summary and variety
032,032.webp,character_base,88,character costume silhouette and personality anchor
034,034.webp,character_base,88,full turnaround with gear breakdown
036,036.webp,character_base,88,palico design language and prop logic
041,041.webp,character_base,88,fighter archetype and practical clothing layers
047,047.webp,character_base,88,daily wear / guild-wear contrast
052,052.webp,character_base,88,multi-character utility costume sheet
057,057.webp,character_base,88,pose and lifestyle storytelling in character presentation
061,061.webp,character_base,88,weapon-user silhouette differentiation
067,067.webp,character_base,88,field equipment prop set and utility design
072,072.webp,character_base,88,female hunter gear shape language
078,078.webp,character_base,88,support/civilian design variation
084,084.webp,base_and_facility_design,88,Astera establishing visual identity
086,086.webp,base_and_facility_design,88,settlement architecture and vertical layout
091,091.webp,base_and_facility_design,88,interior / function-driven environmental storytelling
093,093.webp,base_and_facility_design,88,harbor / vessel / settlement production design
098,098.webp,base_and_facility_design,88,regional architecture and ecosystem tie-in
405,0405.webp,small_creatures_reference,88,fish and aquatic life functional simplification
410,0410.webp,small_creatures_reference,88,insect / butterfly / ambient fauna color note
557,0557.webp,interviews_and_endmatter,88,creator interview / development commentary
558,0558.webp,interviews_and_endmatter,88,promo art + developer commentary wrap-up
524,0524.webp,background_fifth_fleet_history,84,fifth fleet history section title
528,0528.webp,background_fifth_fleet_history,84,world background page with regional narrative
533,0533.webp,background_fifth_fleet_history,84,faction / emblem / region relationship reference
542,0542.webp,background_fifth_fleet_history,84,character-lore page with visual support
550,0550.webp,background_fifth_fleet_history,84,night scene and narrative background page
