image_no,file,category,subtype,score,tier,analysis_note
82,0082.webp,environment,memorial_lobby_final,98,S,Canted aerial/rooftop view uses cool violet-blue depth and wind-driven hair to make solitude feel expansive rather than static.
194,00194.webp,illustration,pv_cut,98,S,"Moonlit canal/city scene is a strong cool-night benchmark: blue-black architecture, warm window points, water reflections and a centered moon path."
212,00212.webp,illustration,main_story_cut,98,S,"Single student in an empty classroom uses window backlight, desk repetition and blue-white values to make loneliness legible without dialogue."
249,00249.webp,illustration,main_story_cut,98,S,Cyan-versus-magenta energy opposition turns abstract VFX into readable conflict sides; color itself functions as narrative alignment.
264,00264.webp,illustration,main_story_cut,98,S,Two-character sunset wide shot uses long shadows and near-silhouettes to externalize separation/reconciliation through spacing.
265,00265.webp,illustration,main_story_cut,98,S,Embrace at sunset compresses the frame and removes background detail; body contact becomes the primary story information.
282,00282.webp,illustration,main_story_cut,98,S,Ocean sunset combines cool water/sky with warm horizon break; reflected light creates a calm resolution image with large spatial breathing room.
84,0084.webp,environment,memorial_lobby_final,97,S,Warm side light cuts into a dark room; intimate low-key staging turns red/orange light into emotional pressure around the subject.
87,0087.webp,environment,memorial_lobby_final,97,S,Deep-blue office/night interior uses hard vertical architecture and cool pools of light to isolate the seated figure and emphasize control.
94,0094.webp,environment,memorial_lobby_final,97,S,Rooftop/night rest pose uses cool blue negative space and a simple curled body shape; calm is created by low visual noise and a large dark field.
113,00113.webp,environment,memorial_lobby_final,97,S,Strong white backlight plus wing-like costume shapes create an almost icon-like silhouette; a high-key scene can still have strong hierarchy.
219,00219.webp,illustration,main_story_cut,97,S,Explosion scene uses hot orange backlight and dark foreground bodies; the bright event becomes the scene owner while characters read as survivors.
227,00227.webp,illustration,main_story_cut,97,S,Destroyed tank at sunset combines a heavy mechanical silhouette with orange-red landscape; environmental damage communicates conflict before text.
238,00238.webp,illustration,main_story_cut,97,S,Stormy field wide shot sacrifices detail for silhouette and atmosphere; dramatic weather and distance create emotional scale.
261,00261.webp,illustration,main_story_cut,97,S,Close portrait at golden hour uses very high warm exposure to move from crisis into emotional release; face and eye become the entire scene.
